"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0236508,0.0456941,0.2432651,0.2083495,0.0325795,0.1268156,0.0714127,-0.0329613,1246,1,0,2005,-116.5775634,49.2303276
0.0188701,0.0355776,0.3179412,0.1924277,0.0286334,0.0995849,0.0505291,-0.0027203,1246,1,0,2005,-116.576216,49.2300581
0.0197184,0.0341809,0.3107126,0.2283237,0.0288861,0.1200726,0.0536433,-0.0467566,1364,1,0,2005,-116.5732515,49.2303276
0.0199459,0.0402017,0.3701085,0.2429076,0.0286187,0.1116739,0.0501264,0.0101621,1358,1,0,2005,-116.574599,49.2316751
0.029074,0.0535002,0.0689393,0.2041585,0.0500858,0.1778248,0.1017448,-0.0146012,1387,1,0,2005,-116.5719041,49.2300581
0.0216406,0.0376044,0.3408833,0.2074309,0.0299009,0.1019635,0.0499217,0.065252,1405,1,0,2005,-116.5708261,49.2300581
0.0179679,0.033042,0.3253319,0.2130456,0.0226003,0.1084521,0.0480287,-0.0550554,1394,1,0,2005,-116.5764855,49.233292
0.0183003,0.0312196,0.3363833,0.1638225,0.0289587,0.0813504,0.0381979,-0.0270538,1348,1,0,2005,-116.5721735,49.2273632
0.0176957,0.0367657,0.3421052,0.2237419,0.0256227,0.1096774,0.0513386,-0.0362252,1296,1,0,2005,-116.574599,49.2297886
0.0181664,0.0352594,0.1675467,0.1803292,0.0311043,0.1285736,0.0661918,-0.1365909,1412,1,0,2005,-116.5759465,49.2330225
0.0166361,0.0300635,0.3721886,0.185277,0.0224705,0.084769,0.0356167,-0.0300772,1324,1,0,2005,-116.5797194,49.2311361
0.0183653,0.0318727,0.249171,0.1946295,0.026977,0.1169844,0.0520583,-0.0733953,1512,1,1,2005,-116.5794499,49.234909
0.0179507,0.0315217,0.3087478,0.1789823,0.0213942,0.0945346,0.0432605,-0.0544075,1389,1,0,2005,-116.5737905,49.2324836
0.0141694,0.022751,0.3699262,0.1514558,0.0188384,0.0696595,0.03219,-0.034845,1314,1,0,2005,-116.5770245,49.2314056
0.018827,0.0331616,0.2854892,0.1905899,0.025177,0.1059352,0.0530863,0.0002342,1456,1,0,2005,-116.5781024,49.2341005
0.0194418,0.0320812,0.3005018,0.1936091,0.0258872,0.1041361,0.0458112,-0.0242523,1506,1,1,2005,-116.5789109,49.234909
0.0192194,0.0352851,0.3640389,0.218533,0.0244995,0.1018875,0.045819,0.0118829,1377,1,1,2005,-116.5697481,49.2270937
0.0203991,0.0345918,0.3541558,0.2063963,0.0234815,0.0984376,0.043843,-0.0208895,1422,1,0,2005,-116.5700176,49.2300581
0.0278778,0.0486455,0.1624687,0.2146743,0.0479391,0.1546678,0.0824861,-0.006269,1393,1,0,2005,-116.5713651,49.2300581
0.0160392,0.0341863,0.3549687,0.1820126,0.0235278,0.0866469,0.0388169,-0.0064661,1553,1,0,2005,-116.5802584,49.2362565
0.0209951,0.0405621,0.3189175,0.2059052,0.032778,0.1063285,0.0461433,0.0138059,1345,1,0,2005,-116.5721735,49.2292496
0.0151555,0.0345599,0.3067458,0.1987028,0.022689,0.1054157,0.0431626,-0.0319242,1417,1,0,2005,-116.5802584,49.2330225
0.0242604,0.0396043,0.3565142,0.2263044,0.0281746,0.1073514,0.0458086,-0.0020197,1235,1,0,2005,-116.5759465,49.2289801
0.0186237,0.0325162,0.3088206,0.1947125,0.0248518,0.1028264,0.0488951,-0.0124518,1547,1,0,2005,-116.5789109,49.235987
0.0176797,0.0332823,0.2158105,0.1751965,0.0228313,0.1130006,0.0572147,-0.0654496,1325,1,0,2005,-116.573521,49.2300581
0.0201212,0.0324771,0.3605918,0.1877748,0.0223828,0.0882445,0.033603,-0.004955,1339,1,0,2005,-116.574599,49.2308666
